Travel type	Distance (km)
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	72
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Bus	127
Car	70
Car	111
Car	51
Car	87
Car	83
Car	134
Car	0
Car	126
Car	126
Other	0
Train	55
Train	412
Train	412
Train	412
Train	412
Train	412
Train	143
Train	546
Train	546
Train	546
Train	546
Train	556
Train	64
Train	64
Train	64
Train	64
Train	126
